initiative_id,act_id,phase,notes
304233,40490,Votação na generalidade,
304233,,Votação final global,
304233,,Requerimento dispensa do prazo previsto Artº 157 RAR,"Requerimento, apresentado pelo PSD, solicitando a dispensa do prazo para apresentação de reclamações contra inexatidões relativamente ao Decreto da Assembleia da República n.º 20/XVI/1.ª - Lei das Grandes Opções para 2024-2028; e do Decreto da Assembleia da República n.º 21/XVI/1.ª - Orçamento do Estado para 2025"
284017,,Votação na generalidade,
284017,,Requerimento avocação plenário,
284017,40435,Votação na especialidade,
284017,40459,Votação final global,
314619,,Votação global,
304312,,Votação na generalidade,
314435,,Votação na generalidade,
304360,,Votação na generalidade,
263567,,Votação na generalidade,
263567,,Votação final global,
263667,,Votação na generalidade,
263667,,Votação final global,
263594,,Votação na generalidade,
263594,,Votação final global,"Texto Final apresentado pela Comissão de Orçamento, Finanças e Administração Pública"
263621,,Votação na generalidade,
263621,,Requerimento avocação plenário,
263545,,Votação Deliberação,
263504,,Votação Deliberação,
263772,,Votação na generalidade,
263772,,Votação final global,
263714,,Votação na generalidade,
263714,,Votação final global,
263617,,Votação Deliberação,
263777,30133,Votação na generalidade,
263777,,Votação final global,
263717,,Votação na generalidade,
263717,,Votação final global,
263616,30101,Votação na generalidade,
263587,,Votação Deliberação,
263796,,Votação na generalidade,
263796,,Votação final global,
263592,,Votação na generalidade,
263630,,Votação Deliberação,
263868,30128,Votação na generalidade,
263868,,Votação final global,"Texto Final apresentado pela Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias relativo ao Projeto de Resolução n.º 172/XVI/1.ª (CH) "
263601,,Votação na generalidade,
263670,,Votação na generalidade,
263634,,Votação na generalidade,
263661,30095,Votação na generalidade,
263635,,Votação na generalidade,
263658,,Votação na generalidade,
263866,30140,Votação na generalidade,
263866,,Votação final global,
273895,,Votação na generalidade,
273895,40375,Votação final global,
263825,,Votação Deliberação,
263669,,Votação na generalidade,
263711,,Votação Deliberação,
263734,,Votação na generalidade,
263884,,Votação na generalidade,
263884,,Votação final global,"Texto Final apresentado pela Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias"
273918,,Votação na generalidade,
273918,,Votação final global,
263887,,Votação na generalidade,
263887,,Votação final global,"Texto Final apresentado pela Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias relativo aos Projetos de Resolução n.ºs 185/XVI/1.ª (BE) e 188/XVI/1.ª (PS) "
263819,,Votação Deliberação,
263712,,Votação na generalidade,
263792,,Votação Deliberação,
263774,,Votação na generalidade,
263715,30096,Votação na generalidade,
263853,,Votação Deliberação,
