initiative_id,act_id,poll_id,party,decision
304233,40490,127410,PSD,FOR
304233,40490,127410,CDS-PP,FOR
304233,40490,127410,CH,AGAINST
304233,40490,127410,IL,AGAINST
304233,40490,127410,BE,AGAINST
304233,40490,127410,PCP,AGAINST
304233,40490,127410,L,AGAINST
304233,40490,127410,PAN,AGAINST
304233,40490,127410,PS,ABSTAIN
304233,,127440,PSD,FOR
304233,,127440,CDS-PP,FOR
304233,,127440,CH,AGAINST
304233,,127440,IL,AGAINST
304233,,127440,BE,AGAINST
304233,,127440,PCP,AGAINST
304233,,127440,L,AGAINST
304233,,127440,PAN,AGAINST
304233,,127440,PS,ABSTAIN
284017,,127012,PSD,FOR
284017,,127012,IL,FOR
284017,,127012,CDS-PP,FOR
284017,,127012,BE,AGAINST
284017,,127012,PCP,AGAINST
284017,,127012,L,AGAINST
284017,,127012,PS,ABSTAIN
284017,,127012,CH,ABSTAIN
284017,40435,127388,PS,FOR
284017,40435,127388,BE,FOR
284017,40435,127388,PCP,FOR
284017,40435,127388,L,FOR
284017,40435,127388,PSD,AGAINST
284017,40435,127388,CH,AGAINST
284017,40435,127388,IL,AGAINST
284017,40435,127388,CDS-PP,AGAINST
284017,40459,127389,PSD,FOR
284017,40459,127389,CH,FOR
284017,40459,127389,CDS-PP,FOR
284017,40459,127389,PS,AGAINST
284017,40459,127389,IL,AGAINST
284017,40459,127389,BE,AGAINST
284017,40459,127389,PCP,AGAINST
284017,40459,127389,L,AGAINST
314619,,128474,PSD,FOR
314619,,128474,PS,FOR
314619,,128474,IL,FOR
314619,,128474,CDS-PP,FOR
314619,,128474,CH,AGAINST
314619,,128474,Miguel Arruda (Ninsc),AGAINST
314619,,128474,BE,ABSTAIN
314619,,128474,PCP,ABSTAIN
314619,,128474,L,ABSTAIN
314619,,128474,PAN,ABSTAIN
304312,,127561,PSD,FOR
304312,,127561,CDS-PP,FOR
304312,,127561,CH,AGAINST
304312,,127561,IL,AGAINST
304312,,127561,PCP,AGAINST
304312,,127561,PS,ABSTAIN
304312,,127561,BE,ABSTAIN
304312,,127561,L,ABSTAIN
304312,,127561,PAN,ABSTAIN
314435,,128151,PSD,FOR
314435,,128151,PS,FOR
314435,,128151,CH,FOR
314435,,128151,IL,FOR
314435,,128151,BE,FOR
314435,,128151,L,FOR
314435,,128151,CDS-PP,FOR
314435,,128151,PAN,FOR
314435,,128151,PCP,AGAINST
304360,,128188,PSD,FOR
304360,,128188,PS,FOR
304360,,128188,CH,FOR
304360,,128188,L,FOR
304360,,128188,CDS-PP,FOR
304360,,128188,BE,AGAINST
304360,,128188,PCP,AGAINST
304360,,128188,IL,ABSTAIN
304360,,128188,PAN,ABSTAIN
263567,,126505,PSD,FOR
263567,,126505,CH,FOR
263567,,126505,IL,FOR
263567,,126505,BE,FOR
263567,,126505,PCP,FOR
263567,,126505,L,FOR
263567,,126505,CDS-PP,FOR
263567,,126505,PAN,FOR
263567,,126505,PS,ABSTAIN
263667,,126621,PS,FOR
263667,,126621,IL,FOR
263667,,126621,BE,FOR
263667,,126621,PCP,FOR
263667,,126621,L,FOR
263667,,126621,PAN,FOR
263667,,126621,PSD,ABSTAIN
263667,,126621,CH,ABSTAIN
263667,,126621,CDS-PP,ABSTAIN
263667,,126872,PS,FOR
263667,,126872,BE,FOR
263667,,126872,PCP,FOR
263667,,126872,L,FOR
263667,,126872,PAN,FOR
263667,,126872,PSD,ABSTAIN
263667,,126872,CH,ABSTAIN
263667,,126872,IL,ABSTAIN
263667,,126872,CDS-PP,ABSTAIN
263594,,128387,PS,FOR
263594,,128387,PCP,FOR
263594,,128387,L,FOR
263594,,128387,PAN,FOR
263594,,128387,PSD,AGAINST
263594,,128387,CDS-PP,AGAINST
263594,,128387,CH,ABSTAIN
263594,,128387,IL,ABSTAIN
263594,,128387,BE,ABSTAIN
263594,,128387,Miguel Arruda (Ninsc),ABSTAIN
263594,,128558,PS,FOR
263594,,128558,BE,FOR
263594,,128558,L,FOR
263594,,128558,PAN,FOR
263594,,128558,PSD,AGAINST
263594,,128558,IL,AGAINST
263594,,128558,CDS-PP,AGAINST
263594,,128558,CH,ABSTAIN
263594,,128558,PCP,ABSTAIN
263594,,128558,Miguel Arruda (Ninsc),ABSTAIN
263621,,138842,PS,FOR
263621,,138842,IL,FOR
263621,,138842,BE,FOR
263621,,138842,PCP,FOR
263621,,138842,L,FOR
263621,,138842,PAN,FOR
263621,,138842,PSD,AGAINST
263621,,138842,CH,AGAINST
263621,,138842,CDS-PP,AGAINST
263545,,126547,CH,FOR
263545,,126547,IL,FOR
263545,,126547,BE,FOR
263545,,126547,L,FOR
263545,,126547,PSD,AGAINST
263545,,126547,PS,AGAINST
263545,,126547,CDS-PP,AGAINST
263545,,126547,PCP,ABSTAIN
263504,,127013,BE,FOR
263504,,127013,PCP,FOR
263504,,127013,L,FOR
263504,,127013,PAN,FOR
263504,,127013,PSD,AGAINST
263504,,127013,PS,AGAINST
263504,,127013,IL,AGAINST
263504,,127013,CDS-PP,AGAINST
263504,,127013,CH,ABSTAIN
263772,,126807,PSD,FOR
263772,,126807,PS,FOR
263772,,126807,CH,FOR
263772,,126807,BE,FOR
263772,,126807,CDS-PP,FOR
263772,,126807,PAN,FOR
263772,,126807,IL,ABSTAIN
263772,,126807,PCP,ABSTAIN
263772,,126807,L,ABSTAIN
263772,,127021,PSD,FOR
263772,,127021,PS,FOR
263772,,127021,CH,FOR
263772,,127021,BE,FOR
263772,,127021,PCP,FOR
263772,,127021,L,FOR
263772,,127021,CDS-PP,FOR
263772,,127021,PAN,FOR
263772,,127021,IL,ABSTAIN
263714,,126617,PS,FOR
263714,,126617,CH,FOR
263714,,126617,IL,FOR
263714,,126617,BE,FOR
263714,,126617,L,FOR
263714,,126617,PAN,FOR
263714,,126617,PSD,ABSTAIN
263714,,126617,PCP,ABSTAIN
263714,,126617,CDS-PP,ABSTAIN
263714,,126877,PS,FOR
263714,,126877,CH,FOR
263714,,126877,IL,FOR
263714,,126877,BE,FOR
263714,,126877,PCP,FOR
263714,,126877,L,FOR
263714,,126877,PAN,FOR
263714,,126877,PSD,ABSTAIN
263714,,126877,CDS-PP,ABSTAIN
263617,,126541,PAN,MISSING
263777,30133,126804,PSD,FOR
263777,30133,126804,CH,FOR
263777,30133,126804,IL,FOR
263777,30133,126804,BE,FOR
263777,30133,126804,PCP,FOR
263777,30133,126804,L,FOR
263777,30133,126804,CDS-PP,FOR
263777,30133,126804,PAN,FOR
263777,30133,126804,PS,ABSTAIN
263717,,126618,PS,FOR
263717,,126618,CH,FOR
263717,,126618,IL,FOR
263717,,126618,BE,FOR
263717,,126618,PCP,FOR
263717,,126618,L,FOR
263717,,126618,PAN,FOR
263717,,126618,PSD,ABSTAIN
263717,,126618,CDS-PP,ABSTAIN
263717,,126878,PS,FOR
263717,,126878,CH,FOR
263717,,126878,IL,FOR
263717,,126878,BE,FOR
263717,,126878,PCP,FOR
263717,,126878,L,FOR
263717,,126878,PAN,FOR
263717,,126878,PSD,ABSTAIN
263717,,126878,CDS-PP,ABSTAIN
263616,30101,126600,CH,FOR
263616,30101,126600,BE,FOR
263616,30101,126600,PCP,FOR
263616,30101,126600,L,FOR
263616,30101,126600,PAN,FOR
263616,30101,126600,PSD,AGAINST
263616,30101,126600,PS,AGAINST
263616,30101,126600,IL,AGAINST
263616,30101,126600,CDS-PP,AGAINST
263587,,126517,CH,FOR
263587,,126517,IL,FOR
263587,,126517,PSD,AGAINST
263587,,126517,PS,AGAINST
263587,,126517,BE,AGAINST
263587,,126517,PCP,AGAINST
263587,,126517,L,AGAINST
263587,,126517,CDS-PP,AGAINST
263587,,126517,PAN,AGAINST
263796,,126810,PS,FOR
263796,,126810,CH,FOR
263796,,126810,BE,FOR
263796,,126810,PCP,FOR
263796,,126810,L,FOR
263796,,126810,PAN,FOR
263796,,126810,PSD,ABSTAIN
263796,,126810,IL,ABSTAIN
263796,,126810,CDS-PP,ABSTAIN
263796,,127022,PSD,FOR
263796,,127022,PS,FOR
263796,,127022,CH,FOR
263796,,127022,BE,FOR
